,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,final
CHN,4,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CIV,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,1,3,3,4,1,3,3,4,2,3
CMR,2,2,4,3,2,0,4,3,0,3,2,2,0,1,3,3,1,1,1,1,3,1,0,0,1,1,4,3,0,2,0,3,1,4,1,4,3,2,3,4,2,0,2,1,4,4,1,4,4,1,1,3,3,4,1,3,3,4,2,3
COD,0,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
COG,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
COL,3,3,3,0,3,2,0,1,2,1,1,3,3,0,1,2,0,0,0,0,2,0,3,2,2,0,2,1,3,3,1,4,0,0,2,1,1,0,1,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,-1,0
COM,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
CRI,1,3,2,4,4,3,3,2,3,4,0,1,1,2,1,0,3,2,2,2,1,3,1,2,0,2,3,2,1,4,3,4,2,1,0,3,4,3,1,3,4,3,1,0,3,3,0,1,3,4,4,1,0,2,4,2,2,3,1,1
CYP,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CZE,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
DEU,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
DNK,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
DOM,1,3,2,4,4,2,0,2,2,4,0,1,1,0,1,0,2,0,0,0,2,2,1,2,2,0,2,1,2,4,1,4,0,1,2,3,4,3,1,2,1,1,3,0,3,3,2,3,1,4,2,2,2,1,4,2,2,3,1,1
DZA,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
ECU,3,3,3,0,3,2,0,1,2,1,1,3,3,0,1,2,0,0,0,0,2,0,3,2,2,0,2,1,3,3,1,4,0,0,2,1,1,0,1,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
EGY,3,1,3,0,3,-1,-1,1,2,-1,1,3,-1,-1,-1,-1,-1,0,3,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,0,-1,-1,0
ESP,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
EST,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
ETH,0,2,4,2,0,0,1,1,4,3,4,0,3,1,2,4,0,1,4,1,0,4,3,4,1,1,4,0,0,3,4,1,1,4,1,4,3,2,2,4,2,4,0,1,4,4,1,0,4,1,3,4,4,0,0,0,4,0,4,3
FIN,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
FRA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GAB,3,2,4,3,2,1,4,3,0,3,2,2,0,4,3,3,4,4,1,4,3,1,0,0,1,4,4,4,0,2,0,3,4,4,1,4,3,2,3,4,2,0,2,1,4,4,1,4,4,1,1,3,3,4,1,3,3,4,2,3
GBR,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GEO,1,3,2,4,4,4,2,2,1,4,0,1,1,3,4,1,2,3,2,3,4,2,1,1,3,3,1,2,2,4,3,4,3,1,3,3,4,3,1,1,4,3,1,0,3,3,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
GHA,2,0,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
GIN,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
GMB,3,1,3,0,3,2,0,1,4,1,1,3,3,1,2,2,0,1,3,1,2,0,3,4,1,1,4,3,3,3,0,1,1,0,1,1,1,0,2,4,2,0,2,1,1,1,1,2,2,0,2,2,2,1,2,1,0,1,0,0
GRC,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GTM,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
HKG,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
HND,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,-1,0,-1,0,0
HRV,4,4,0,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,2,2,1,4,3,4,3,1,2,2,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
HUN,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
IDN,3,3,3,0,3,2,0,-1,2,1,1,3,3,0,-1,2,0,0,-1,-1,2,0,3,-1,2,0,2,1,-1,-1,-1,-1,-1,-1,2,1,-1,0,-1,-1,0,-1,-1,4,-1,-1,-1,-1,-1,-1,2,2,2,1,2,1,0,-1,-1,0
IND,2,2,4,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,0,3,3,4,1,0,0,2,1,1,0,2,2,0,4,0,4,1,1,2,0,2,0,0,4,4,0,0,4,4,2,3,0
