,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,final
MEX,3,3,3,0,3,2,0,1,2,1,1,3,3,0,1,2,0,0,0,0,2,0,1,2,2,0,2,1,3,3,1,4,0,0,2,1,1,0,1,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
MKD,1,4,2,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,3,2,3,2,1,1,3,0,2,3,3,2,2,1,4,3,4,3,1,2,2,2,3,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
MLI,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,1,3,3,3,1,3,3,0,2,3
MLT,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
MNE,1,3,2,4,4,4,2,4,1,4,0,1,1,3,1,1,2,3,2,3,4,2,1,2,3,3,1,2,2,4,3,4,3,1,3,3,4,3,1,1,4,3,1,0,3,3,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
MNG,4,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,2,-1,-1,2,-1,-1,2
MOZ,0,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
MRT,3,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,1,3,3,4,1,3,3,4,2,3
MUS,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
MWI,0,2,-1,2,0,0,1,0,4,3,-1,0,0,1,0,4,-1,1,-1,1,-1,-1,-1,3,1,-1,4,-1,-1,0,0,-1,-1,-1,1,-1,3,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,3,0,1,-1,3,-1,-1,-1,4,3
MYS,4,4,0,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,2,2,1,4,3,4,3,1,2,2,2,0,1,3,4,4,1,0,2,4,2,2,3,-1,2
NAM,2,0,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,0,4,4,2,3,4,2,4
NER,0,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
NGA,2,0,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
NIC,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
NLD,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
NOR,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
NPL,2,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,0,3,3,4,1,0,0,2,1,1,0,2,2,0,4,0,4,1,1,2,0,2,0,0,4,4,0,0,4,4,2,-1,0
NZL,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
OMN,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
PAK,0,1,4,0,3,2,0,1,4,1,1,3,3,1,2,2,0,1,3,1,0,0,3,4,1,1,4,3,3,3,0,1,1,0,1,1,1,0,2,4,2,0,2,1,1,1,1,2,2,0,3,4,1,3,3,0,1,0,4,0
PAN,3,3,2,0,4,2,0,2,2,1,1,3,1,0,1,2,0,0,0,0,2,0,1,2,2,0,2,1,2,3,1,4,0,0,2,1,1,0,1,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
PER,3,3,2,0,4,2,0,2,2,1,1,3,1,0,1,2,0,0,0,0,2,0,1,2,2,0,2,1,2,3,1,4,0,0,2,1,1,0,1,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
PHL,3,2,4,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,3,3,3,0,3,0,0,2,1,1,0,2,2,0,0,2,4,1,1,2,2,4,0,2,2,2,1,2,1,0,1,0,0
POL,1,4,0,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,2,2,1,4,3,4,3,1,2,2,2,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
PRT,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
PRY,3,3,2,0,4,2,0,2,2,1,1,3,1,0,1,2,0,0,0,0,2,0,1,2,2,0,2,1,2,4,1,4,0,0,2,1,1,0,1,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
PSE,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
ROU,1,4,2,4,4,4,2,4,1,4,0,1,2,3,4,1,2,3,2,3,4,2,2,1,3,3,1,2,1,4,3,0,3,1,3,3,4,3,4,1,4,3,1,0,3,3,3,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
RUS,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
SAU,1,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
SEN,3,0,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
SGP,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SLE,0,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
SLV,3,1,3,0,3,2,0,1,2,1,1,3,3,0,2,2,0,0,3,0,2,0,3,4,2,0,2,1,3,3,1,1,0,0,2,1,1,0,2,2,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
SRB,1,4,2,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,3,2,3,2,1,1,3,0,2,3,3,2,2,1,4,3,4,3,1,2,2,2,3,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
SVK,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SVN,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SWE,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
SWZ,2,0,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
TCD,0,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
TGO,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,1,3,3,4,1,3,3,4,2,3
THA,1,4,2,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,2,2,1,4,3,4,3,1,2,2,2,0,1,3,4,4,1,0,2,4,2,2,3,1,1
TJK,3,1,3,0,4,4,2,1,1,1,0,3,1,3,1,1,2,3,0,3,4,2,1,2,2,3,1,1,2,4,1,4,3,0,2,1,1,0,1,1,1,1,3,4,1,1,2,3,2,0,2,2,2,1,2,1,0,1,0,0
TTO,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
TUN,3,1,-1,0,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,1,-1,-1,-1,0
TUR,1,4,0,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,2,2,1,4,3,4,3,1,2,2,2,0,1,3,4,4,1,0,2,4,2,2,3,1,1
TWN,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
TZA,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,3,0,1,3,3,0,1,0,4,3
UGA,2,2,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
UKR,4,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
URY,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
USA,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
UZB,3,3,3,4,4,4,2,2,1,4,0,1,1,3,1,1,2,3,0,3,4,2,1,2,3,3,1,1,2,4,1,4,3,1,3,3,4,3,1,1,1,1,3,0,3,3,3,3,1,2,2,2,2,1,2,1,0,1,0,0
VEN,1,3,2,4,1,3,3,2,3,4,3,1,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,3,4,3,4,3,4,3,1,2,3,3,0,1,3,4,4,1,0,2,4,2,2,3,1,1
VNM,1,4,0,1,1,3,3,4,3,2,3,4,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,1,0,2,2,1,4,3,4,3,1,0,2,2,0,1,3,2,4,1,-1,-1,-1,2,-1,-1,-1,1
XKX,1,1,3,4,4,4,2,2,1,4,0,1,1,3,1,1,2,3,0,3,4,2,1,2,3,3,1,1,2,4,1,4,3,1,3,3,4,3,1,1,1,1,3,0,3,3,3,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
ZAF,1,0,1,4,1,3,3,2,3,4,3,1,2,2,4,0,3,2,2,2,1,3,2,1,0,2,3,2,1,1,3,0,2,3,0,3,4,3,4,3,4,3,1,2,3,3,0,1,3,4,4,1,0,2,4,2,2,3,1,1
ZMB,2,2,1,3,2,1,4,3,0,0,2,2,4,4,3,3,4,4,1,4,3,1,4,0,4,4,0,4,4,2,2,2,4,2,4,0,0,4,3,0,3,2,4,3,0,0,4,4,0,3,1,3,3,4,1,3,3,4,2,4
ZWE,2,2,4,2,0,0,1,0,4,3,4,0,0,1,0,4,1,1,4,1,0,4,0,3,1,1,4,3,0,0,0,3,1,4,1,4,3,2,0,4,2,0,2,1,4,4,1,2,4,1,1,3,3,3,1,3,3,4,2,3
