,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,final
BHR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
BIH,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
BLZ,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,1,1,1,2,2,-1,3,-1,3,-1,0
BOL,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
BRA,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
BWA,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
CAN,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CHE,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CHL,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CHN,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CIV,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,0,0,1,3,2,1,0,0,0,3
CMR,1,2,0,3,3,3,0,1,2,3,2,1,1,1,1,2,3,3,2,2,2,1,1,1,3,1,3,1,3,1,2,2,1,3,1,1,1,1,1,2,3,1,3,0,1,1,2,0,3,2,0,0,1,3,2,1,0,0,0,1
COD,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
COG,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
COL,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,-1,0
COM,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
CRI,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
CYP,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
CZE,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
DEU,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
DNK,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
DOM,2,3,1,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,1,1,1,2,2,1,3,2,3,3,0
DZA,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
ECU,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
EGY,2,1,3,0,2,-1,-1,2,0,-1,1,2,-1,-1,-1,-1,-1,2,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,0,-1,2,-1,-1,0
ESP,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
EST,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
ETH,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
FIN,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
FRA,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GAB,2,2,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,1,2,1,1,1,1,0,3,3,0,1,1,2,2,3,2,0,0,1,3,2,1,0,0,0,1
GBR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GEO,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GHA,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
GIN,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
GMB,2,1,3,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,3,3,3,0,2,0,2,2,2,1,0
GRC,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
GTM,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
HKG,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
HND,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,-1,2,-1,1,0
HRV,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
HUN,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
IDN,2,1,3,0,2,2,1,-1,0,0,1,2,2,0,-1,1,0,2,-1,-1,0,2,2,-1,1,0,1,2,-1,-1,-1,-1,-1,-1,0,3,-1,3,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,3,3,0,2,0,2,2,-1,-1,0
IND,1,2,0,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
IRL,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
IRN,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
IRQ,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
ISL,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
ISR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
ITA,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
JOR,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
JPN,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
KAZ,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
KEN,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
KGZ,0,1,3,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,3,2
KHM,2,1,3,0,2,2,1,2,0,0,1,-1,2,0,0,-1,0,-1,0,1,-1,2,2,2,1,0,-1,-1,0,-1,3,-1,3,2,-1,3,-1,-1,-1,3,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,3,0,2,0,-1,-1,-1,1,0
KOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
KWT,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
LAO,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
LBN,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
LBR,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
LBY,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
LKA,1,2,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
LSO,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
LTU,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
LVA,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
MAR,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
MDA,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
MDG,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
MEX,2,1,3,0,2,2,1,2,0,0,1,2,2,0,0,1,0,2,0,1,0,2,2,2,1,0,1,2,0,2,3,3,3,2,0,3,3,3,3,3,1,0,2,1,3,0,1,3,0,3,3,3,0,2,0,2,2,2,1,0
MKD,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
MLI,1,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,0,0,1,3,2,1,0,0,0,3
MLT,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
MNE,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
MNG,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,3,-1,-1,2
MOZ,3,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,2,2,3,1,3,0,1,1,2,3
MRT,2,2,0,1,1,0,3,3,3,2,3,3,3,1,3,3,1,0,3,0,3,3,3,3,3,1,3,3,1,3,0,1,0,1,1,1,1,1,0,2,3,1,0,0,1,1,2,0,3,2,0,0,1,3,2,1,0,0,0,3
MUS,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
MWI,3,2,-1,1,1,0,3,3,3,2,-1,3,3,1,3,3,-1,0,-1,0,-1,-1,-1,3,3,-1,3,-1,-1,3,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,2,2,3,-1,3,-1,-1,-1,2,3
MYS,0,3,1,2,0,1,2,0,1,1,0,0,0,2,2,0,2,1,1,3,1,0,0,0,2,2,2,0,2,0,1,0,2,0,3,0,2,2,2,0,2,2,1,3,2,3,3,1,2,1,1,1,2,0,1,3,3,3,-1,2
NAM,1,0,2,3,3,3,0,1,2,3,2,1,1,3,1,2,3,3,2,2,2,1,1,1,0,3,0,1,3,1,2,2,1,3,2,2,0,0,1,1,0,3,3,2,0,2,0,2,1,0,0,0,1,3,2,1,0,0,0,1
